# GR31310 calibration file, created 2018-04-03 16:16:35.525942
# Temperature	Resistance
# 		[K]				[Ohms]
# 
1.56025000e-01 2.93906600e+02
1.64873000e-01 2.92155400e+02
1.70880000e-01 2.84896700e+02
1.75133000e-01 2.79722000e+02
1.80062000e-01 2.73498800e+02
1.85012000e-01 2.66294400e+02
1.89620000e-01 2.63970000e+02
1.95671000e-01 2.61793400e+02
2.00437000e-01 2.59644800e+02
2.19828000e-01 2.59444300e+02
2.40569000e-01 2.58902400e+02
2.59244000e-01 2.58902400e+02
2.80130000e-01 2.54195000e+02
3.00573000e-01 2.30563200e+02
3.19841000e-01 2.16071600e+02
3.39932000e-01 1.99755300e+02
3.59988000e-01 1.85260300e+02
3.79679000e-01 1.71088500e+02
4.04364000e-01 1.60833900e+02
4.22256000e-01 1.50785400e+02
4.41998000e-01 1.40374000e+02
4.61525000e-01 1.33657000e+02
4.81929000e-01 1.26116500e+02
5.03785000e-01 1.19223800e+02
5.34062000e-01 1.10844700e+02
5.67035000e-01 1.03797200e+02
5.95381000e-01 9.84969400e+01
6.27083000e-01 9.30483000e+01
6.58282000e-01 8.75245300e+01
6.95274000e-01 8.23775600e+01
7.33180000e-01 7.77440300e+01
7.64325000e-01 7.41082300e+01
7.98295000e-01 7.07313300e+01
8.41829000e-01 6.74884700e+01
8.82778000e-01 6.55769500e+01
9.26806000e-01 6.20940100e+01
9.60863000e-01 6.08646900e+01
9.94273000e-01 5.83358800e+01
1.03497000e+00 5.57249300e+01
1.09509000e+00 5.30313300e+01
1.14359000e+00 4.56467300e+01
1.18303000e+00 3.17204200e+01
1.18303000e+00 3.17204200e+01
1.33202000e+00 3.05723500e+01
1.43101000e+00 2.93603500e+01
1.58738000e+00 2.65571200e+01
1.58738000e+00 2.65571200e+01
1.78642000e+00 2.48023200e+01
1.95407000e+00 2.40827200e+01
2.07736000e+00 2.30622200e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.25218800e+01
7.14412000e+00 1.90105000e+01
7.14412000e+00 1.90105000e+01
7.14412000e+00 1.90105000e+01
7.14412000e+00 1.90105000e+01
7.14412000e+00 1.90105000e+01
7.14412000e+00 1.90105000e+01
7.14412000e+00 1.90105000e+01
7.14412000e+00 1.90105000e+01
8.35084000e+00 1.86978000e+01
8.35084000e+00 1.86978000e+01
8.35084000e+00 1.86978000e+01
8.35084000e+00 1.86978000e+01
1.03195000e+01 1.86112100e+01
1.03195000e+01 1.86112100e+01
