Date: 2018/03/22, Time: 14:47:41
RAW SENSOR UNITS FILE
________________________________
Time,GR31309,GR31310,X109928
1.5222827386813970e+09,3.80643600e+00,3.99499600e+00,3.18794500e+01
1.5222827575971889e+09,3.80467600e+00,3.99026700e+00,3.18778300e+01
1.5222827765107629e+09,3.80206200e+00,3.98725000e+00,3.18900200e+01
1.5222827954249411e+09,3.80297100e+00,3.99170500e+00,3.18491600e+01
1.5222828143385780e+09,3.80271800e+00,3.98999900e+00,3.18592300e+01
1.5222828332571931e+09,3.80205700e+00,3.99010200e+00,3.19050500e+01
1.5222828521691830e+09,3.80516400e+00,3.99058500e+00,3.18883300e+01
1.5222828710917320e+09,3.80384900e+00,3.98879600e+00,3.18940100e+01
1.5222828900036049e+09,3.80440100e+00,3.99222600e+00,3.18527500e+01
1.5222829089187610e+09,3.80402600e+00,3.98713200e+00,3.18625500e+01
1.5222829278263440e+09,3.80515400e+00,3.98881000e+00,3.18852500e+01
1.5222829467166541e+09,3.80487500e+00,3.98849400e+00,3.18539600e+01
1.5222829656330161e+09,3.80326600e+00,3.99163400e+00,3.18917900e+01
1.5222829845463650e+09,3.80418000e+00,3.98990000e+00,3.18875300e+01
1.5222830034626851e+09,3.80718800e+00,3.98633300e+00,3.19076400e+01
1.5222830223790910e+09,3.80279300e+00,3.98792600e+00,3.18835500e+01
1.5222830412892170e+09,3.80459800e+00,3.99395400e+00,3.18671600e+01
1.5222830601875949e+09,3.80415800e+00,3.98933300e+00,3.18973500e+01
1.5222830791003189e+09,3.80130000e+00,3.98873800e+00,3.18508200e+01
1.5222830980144091e+09,3.80192100e+00,3.98812500e+00,3.18679100e+01
1.5222831169291780e+09,3.80141900e+00,3.99281400e+00,3.18901700e+01
1.5222831358405881e+09,3.80335500e+00,3.99037400e+00,3.18842400e+01
1.5222831547564681e+09,3.80774900e+00,3.98493100e+00,3.18531200e+01
1.5222831736687920e+09,3.80347500e+00,3.98860600e+00,3.18746400e+01
1.5222831925851829e+09,3.79996200e+00,3.98888300e+00,3.18716300e+01
1.5222832114995711e+09,3.80446300e+00,3.99033500e+00,3.18949300e+01
1.5222832304159231e+09,3.80754300e+00,3.99118600e+00,3.18616700e+01
1.5222832493292379e+09,3.80039600e+00,3.99215100e+00,3.18633000e+01
1.5222832682182291e+09,3.80250100e+00,3.99073300e+00,3.19022800e+01
1.5222832871403029e+09,3.80414200e+00,3.98899500e+00,3.18845400e+01
1.5222833060507960e+09,3.80298400e+00,3.98958800e+00,3.18767800e+01
1.5222833249675660e+09,3.80640800e+00,3.99397300e+00,3.18756800e+01
1.5222833438828881e+09,3.79690100e+00,3.99021500e+00,3.18749000e+01
1.5222833627917030e+09,3.80610700e+00,3.99065100e+00,3.18896500e+01
1.5222833816785779e+09,3.80572400e+00,3.99191100e+00,3.18666200e+01
1.5222834005691910e+09,3.80401000e+00,3.99061100e+00,3.18751900e+01
1.5222834194842751e+09,3.80468800e+00,3.99047400e+00,3.18656500e+01
1.5222834383958349e+09,3.80651600e+00,3.99095800e+00,3.18799500e+01
1.5222834573109541e+09,3.80533200e+00,3.99013300e+00,3.18654700e+01
1.5222834762092161e+09,3.80331000e+00,3.98905000e+00,3.18985000e+01
1.5222834951228769e+09,3.80336200e+00,3.99001800e+00,3.18578100e+01
1.5222835140310290e+09,3.80535100e+00,3.98704400e+00,3.18654500e+01
1.5222835329525540e+09,3.80404100e+00,3.99077500e+00,3.18588000e+01
1.5222835518571911e+09,3.80286100e+00,3.99112900e+00,3.18990300e+01
1.5222835707504480e+09,3.80244000e+00,3.98620200e+00,3.18630300e+01
1.5222835896667221e+09,3.80194200e+00,3.98916400e+00,3.18663200e+01
1.5222836085777869e+09,3.80301100e+00,3.99165700e+00,3.18786800e+01
1.5222836274900970e+09,3.80295400e+00,3.99247300e+00,3.18603800e+01
1.5222836464088430e+09,3.80048600e+00,3.99221600e+00,3.18907600e+01
1.5222836653027959e+09,3.80190600e+00,3.98787500e+00,3.18716800e+01
1.5222836842161231e+09,3.79933600e+00,3.98947700e+00,3.18779600e+01
1.5222837031331871e+09,3.80449700e+00,3.98850700e+00,3.18890400e+01
1.5222837220467930e+09,3.80287400e+00,3.99065500e+00,3.18684200e+01
1.5222837409645801e+09,3.80461700e+00,3.99161200e+00,3.18680600e+01
1.5222837598716891e+09,3.80404600e+00,3.98683300e+00,3.18425400e+01
1.5222837787858620e+09,3.80718500e+00,3.99096000e+00,3.18531700e+01
1.5222837976735330e+09,3.80789000e+00,3.98974100e+00,3.18727600e+01
1.5222838165659800e+09,3.80693400e+00,3.98862000e+00,3.18596400e+01
1.5222838354778781e+09,3.80314200e+00,3.99078800e+00,3.18712500e+01
1.5222838543942721e+09,3.80265600e+00,3.98857700e+00,3.18690100e+01
1.5222838733055511e+09,3.80527100e+00,3.99117600e+00,3.18915800e+01
1.5222838921999011e+09,3.80226600e+00,3.98639100e+00,3.18797100e+01
1.5222839111133740e+09,3.80609200e+00,3.98740200e+00,3.18580500e+01
1.5222839300349820e+09,3.80654600e+00,3.99206700e+00,3.18637600e+01
1.5222839489449329e+09,3.80611400e+00,3.98912200e+00,3.18624600e+01
1.5222839678561590e+09,3.80368300e+00,3.99077100e+00,3.18506600e+01
1.5222839867692740e+09,3.80777800e+00,3.99195500e+00,3.18599400e+01
1.5222840056600339e+09,3.80483600e+00,3.99049400e+00,3.18684200e+01
1.5222840245772080e+09,3.80076300e+00,3.98899200e+00,3.18379600e+01
1.5222840434911880e+09,3.80730300e+00,3.99109700e+00,3.18715600e+01
1.5222840624040060e+09,3.80614200e+00,3.98923800e+00,3.18641300e+01
1.5222840813132050e+09,3.80515800e+00,3.99149800e+00,3.18793200e+01
1.5222841002389319e+09,3.80607000e+00,3.98774600e+00,3.18952800e+01
1.5222841191556120e+09,3.80502000e+00,3.98925600e+00,3.18871400e+01
1.5222841380653710e+09,3.80349900e+00,3.99139300e+00,3.18785800e+01
1.5222841569837360e+09,3.80544900e+00,3.98811100e+00,3.18584200e+01
1.5222841758980639e+09,3.80533100e+00,3.99134600e+00,3.18713400e+01
1.5222841948088789e+09,3.80349200e+00,3.98856700e+00,3.18609900e+01
1.5222842137227960e+09,3.80346400e+00,3.98809000e+00,3.18691300e+01
1.5222842326131921e+09,3.80623700e+00,3.98858800e+00,3.18792400e+01
1.5222842515274410e+09,3.80923600e+00,3.98884700e+00,3.18706500e+01
1.5222842704412041e+09,3.80551300e+00,3.98447600e+00,3.18708700e+01
1.5222842893547781e+09,3.80664200e+00,3.98848900e+00,3.18580800e+01
1.5222843082504921e+09,3.80256200e+00,3.98851300e+00,3.18786900e+01
1.5222843271638210e+09,3.80832700e+00,3.99020800e+00,3.18854400e+01
1.5222843460722160e+09,3.80539100e+00,3.98876000e+00,3.18995000e+01
1.5222843649655180e+09,3.80650500e+00,3.99035800e+00,3.18735900e+01
1.5222843838738580e+09,3.80416200e+00,3.99260200e+00,3.18793500e+01
1.5222844027652111e+09,3.80727800e+00,3.99215100e+00,3.18587800e+01
1.5222844216772299e+09,3.80655600e+00,3.99094200e+00,3.18844700e+01
1.5222844405662899e+09,3.80843900e+00,3.99123000e+00,3.18766700e+01
1.5222844594573100e+09,3.80676300e+00,3.98900800e+00,3.18803000e+01
1.5222844783666339e+09,3.80490500e+00,3.98828200e+00,3.18816600e+01
1.5222844972591600e+09,3.80194400e+00,3.98999600e+00,3.18750700e+01
1.5222845161784871e+09,3.80420000e+00,3.99275400e+00,3.18705200e+01
1.5222845350926590e+09,3.80469000e+00,3.98854400e+00,3.18679600e+01
1.5222845540029609e+09,3.80197000e+00,3.99166100e+00,3.18779200e+01
1.5222845729212310e+09,3.80465400e+00,3.98827500e+00,3.18674300e+01
1.5222845918310471e+09,3.80494200e+00,3.99137400e+00,3.18748600e+01
1.5222846107499461e+09,3.80237200e+00,3.98792600e+00,3.18638700e+01
1.5222846296645899e+09,3.80159600e+00,3.98710200e+00,3.18715200e+01
1.5222846485772359e+09,3.80659000e+00,3.99065000e+00,3.18681300e+01
1.5222846674610269e+09,3.80195500e+00,3.98702800e+00,3.18919600e+01
1.5222846863504169e+09,3.80563500e+00,3.99208200e+00,3.18575900e+01
1.5222847052492130e+09,3.81046000e+00,3.98689200e+00,3.18727200e+01
1.5222847241636260e+09,3.80689100e+00,3.98886800e+00,3.18768900e+01
1.5222847430775571e+09,3.80397500e+00,3.98959600e+00,3.18654800e+01
1.5222847619907629e+09,3.80441700e+00,3.98846700e+00,3.18724700e+01
1.5222847809061041e+09,3.80631700e+00,3.98738200e+00,3.18489600e+01
1.5222847998110189e+09,3.80798400e+00,3.98647800e+00,3.18765900e+01
1.5222848187060781e+09,3.80077200e+00,3.98883000e+00,3.18535000e+01
1.5222848376192651e+09,3.80436400e+00,3.98764900e+00,3.18890100e+01
