# GR31310 calibration file, created 2018-04-03 13:28:04.434405
# Temperature	Resistance
# 		[K]				[Ohms]
# 
1.56025000e-01 2.97218467e+02
1.64873000e-01 2.88996124e+02
1.70880000e-01 2.85185633e+02
1.75133000e-01 2.79429676e+02
1.80062000e-01 2.72823452e+02
1.85012000e-01 2.67825562e+02
1.89620000e-01 2.63686429e+02
1.95671000e-01 2.61269348e+02
2.00437000e-01 2.60150638e+02
2.19828000e-01 2.59673843e+02
2.40569000e-01 2.60914438e+02
2.59244000e-01 2.57594805e+02
2.80130000e-01 2.48699114e+02
3.00573000e-01 2.34437605e+02
3.19841000e-01 2.16799824e+02
3.39932000e-01 1.99103610e+02
3.59988000e-01 1.85233533e+02
3.79679000e-01 1.72043600e+02
4.04364000e-01 1.60340905e+02
4.22256000e-01 1.50201338e+02
4.41998000e-01 1.41404714e+02
4.61525000e-01 1.33391067e+02
4.81929000e-01 1.25932914e+02
5.03785000e-01 1.18616882e+02
5.34062000e-01 1.11165172e+02
5.67035000e-01 1.04388785e+02
5.95381000e-01 9.82122167e+01
6.27083000e-01 9.28006543e+01
6.58282000e-01 8.75304248e+01
6.95274000e-01 8.24413014e+01
7.33180000e-01 7.79436662e+01
7.64325000e-01 7.39526143e+01
7.98295000e-01 7.07485386e+01
8.41829000e-01 6.76980119e+01
8.82778000e-01 6.50682557e+01
9.26806000e-01 6.27556400e+01
9.60863000e-01 6.05475338e+01
9.94273000e-01 5.86103590e+01
1.03497000e+00 5.66753890e+01
1.09509000e+00 5.06879976e+01
1.14359000e+00 4.34551048e+01
1.18303000e+00 3.65183962e+01
1.18303000e+00 3.15068524e+01
1.33202000e+00 2.90912376e+01
1.43101000e+00 2.90517338e+01
1.58738000e+00 2.74248757e+01
1.58738000e+00 2.60531690e+01
1.78642000e+00 2.48832781e+01
1.95407000e+00 2.40402514e+01
2.07736000e+00 2.30894162e+01
2.14068000e+00 2.26820552e+01
2.14068000e+00 2.24504200e+01
2.14068000e+00 2.24704190e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.25218800e+01
2.14068000e+00 2.28562971e+01
2.14068000e+00 2.23546714e+01
2.14068000e+00 2.13514200e+01
7.14412000e+00 2.01809600e+01
7.14412000e+00 1.91777086e+01
7.14412000e+00 1.86760829e+01
7.14412000e+00 1.90105000e+01
7.14412000e+00 1.90105000e+01
7.14412000e+00 1.90402810e+01
7.14412000e+00 1.89956095e+01
7.14412000e+00 1.89062667e+01
8.35084000e+00 1.88020333e+01
8.35084000e+00 1.87209371e+01
8.35084000e+00 1.86638957e+01
8.35084000e+00 1.86689367e+01
1.03195000e+01 1.86400733e+01
1.03195000e+01 1.86222733e+01
1.03195000e+01 1.85994933e+01
1.03195000e+01 1.85869200e+01
1.13898000e+01 1.85681214e+01
1.13898000e+01 1.85390643e+01
1.13898000e+01 1.85233133e+01
1.33541000e+01 1.84943333e+01
1.33541000e+01 1.84589095e+01
1.41429000e+01 1.84188967e+01
1.41429000e+01 1.83043367e+01
1.49709000e+01 1.81688810e+01
1.63430000e+01 1.80300143e+01
1.63430000e+01 1.78591914e+01
1.69809000e+01 1.76833443e+01
1.81233000e+01 1.74933157e+01
1.85790000e+01 1.72620638e+01
1.90663000e+01 1.70030857e+01
1.98632000e+01 1.66669324e+01
2.10544000e+01 1.61647490e+01
2.20641000e+01 1.54074148e+01
2.29093000e+01 1.45355019e+01
2.47483000e+01 1.37092567e+01
2.60165000e+01 1.28890610e+01
2.73377000e+01 1.21456828e+01
2.90182000e+01 1.14063167e+01
3.01478000e+01 1.05915060e+01
3.17188000e+01 9.83059748e+00
3.31848000e+01 9.14342295e+00
3.48495000e+01 8.50755329e+00
3.64161000e+01 7.95935495e+00
3.81295000e+01 7.44516648e+00
4.01125000e+01 6.95851781e+00
4.19679000e+01 6.50901324e+00
4.37478000e+01 6.09071814e+00
4.54765000e+01 5.73767600e+00
4.72586000e+01 5.41943390e+00
