# Still Stage
# UCSD DR Cooldown data 
# Time	Temperature 
# (s)	(K)
1.523591985000000000e+09 2.451200000000000045e+02
1.523592046000000000e+09 2.448839999999999861e+02
1.523592106000000000e+09 2.444199999999999875e+02
1.523592166000000000e+09 2.441930000000000121e+02
1.523592226000000000e+09 2.437199999999999989e+02
1.523592286000000000e+09 2.435060000000000002e+02
1.523592346000000000e+09 2.432709999999999866e+02
1.523592406000000000e+09 2.427909999999999968e+02
1.523592467000000000e+09 2.425689999999999884e+02
1.523592527000000000e+09 2.420709999999999980e+02
1.523592587000000000e+09 2.419039999999999964e+02
1.523592647000000000e+09 2.413959999999999866e+02
1.523592707000000000e+09 2.411699999999999875e+02
1.523592767000000000e+09 2.409410000000000025e+02
1.523592828000000000e+09 2.404929999999999950e+02
1.523592888000000000e+09 2.402400000000000091e+02
1.523592948000000000e+09 2.397909999999999968e+02
1.523593008000000000e+09 2.395589999999999975e+02
1.523593068000000000e+09 2.390879999999999939e+02
1.523593128000000000e+09 2.388720000000000141e+02
1.523593188000000000e+09 2.386539999999999964e+02
1.523593248000000000e+09 2.381709999999999923e+02
1.523593309000000000e+09 2.379459999999999980e+02
1.523593369000000000e+09 2.374739999999999895e+02
1.523593429000000000e+09 2.372359999999999900e+02
1.523593489000000000e+09 2.367789999999999964e+02
1.523593550000000000e+09 2.365480000000000018e+02
1.523593610000000000e+09 2.360740000000000123e+02
1.523593670000000000e+09 2.358609999999999900e+02
1.523593730000000000e+09 2.356399999999999864e+02
1.523593790000000000e+09 2.351810000000000116e+02
1.523593850000000000e+09 2.349799999999999898e+02
1.523593910000000000e+09 2.344970000000000141e+02
1.523593971000000000e+09 2.342839999999999918e+02
1.523594031000000000e+09 2.338149999999999977e+02
1.523594091000000000e+09 2.336080000000000041e+02
1.523594151000000000e+09 2.333629999999999995e+02
1.523594211000000000e+09 2.328890000000000100e+02
1.523594271000000000e+09 2.327079999999999984e+02
1.523594331000000000e+09 2.322410000000000139e+02
1.523594392000000000e+09 2.320020000000000095e+02
1.523594452000000000e+09 2.315339999999999918e+02
1.523594512000000000e+09 2.312750000000000057e+02
1.523594572000000000e+09 2.310639999999999930e+02
1.523594632000000000e+09 2.306150000000000091e+02
1.523594693000000000e+09 2.304029999999999916e+02
1.523594753000000000e+09 2.299370000000000118e+02
1.523594813000000000e+09 2.297059999999999889e+02
1.523594873000000000e+09 2.292669999999999959e+02
1.523594933000000000e+09 2.290629999999999882e+02
1.523594993000000000e+09 2.288139999999999930e+02
1.523595053000000000e+09 2.283779999999999859e+02
1.523595113000000000e+09 2.281370000000000005e+02
1.523595174000000000e+09 2.276850000000000023e+02
1.523595234000000000e+09 2.274559999999999889e+02
1.523595294000000000e+09 2.270219999999999914e+02
1.523595354000000000e+09 2.267829999999999870e+02
1.523595414000000000e+09 2.265649999999999977e+02
1.523595474000000000e+09 2.261040000000000134e+02
1.523595535000000000e+09 2.258770000000000095e+02
1.523595595000000000e+09 2.254039999999999964e+02
1.523595655000000000e+09 2.252030000000000030e+02
1.523595715000000000e+09 2.247460000000000093e+02
1.523595775000000000e+09 2.245389999999999873e+02
1.523595835000000000e+09 2.243290000000000077e+02
1.523595895000000000e+09 2.238739999999999952e+02
1.523595956000000000e+09 2.236519999999999868e+02
1.523596016000000000e+09 2.232129999999999939e+02
1.523596076000000000e+09 2.229950000000000045e+02
1.523596136000000000e+09 2.225509999999999877e+02
1.523596196000000000e+09 2.222940000000000111e+02
1.523596257000000000e+09 2.218729999999999905e+02
1.523596317000000000e+09 2.216359999999999957e+02
1.523596377000000000e+09 2.214290000000000020e+02
1.523596437000000000e+09 2.209840000000000089e+02
1.523596498000000000e+09 2.207270000000000039e+02
1.523596558000000000e+09 2.203100000000000023e+02
1.523596618000000000e+09 2.200649999999999977e+02
1.523596678000000000e+09 2.196409999999999911e+02
1.523596738000000000e+09 2.194300000000000068e+02
1.523596799000000000e+09 2.191980000000000075e+02
1.523596859000000000e+09 2.187489999999999952e+02
1.523596919000000000e+09 2.185409999999999968e+02
1.523596979000000000e+09 2.180970000000000084e+02
1.523597039000000000e+09 2.178990000000000009e+02
1.523597099000000000e+09 2.174339999999999975e+02
1.523597159000000000e+09 2.172280000000000086e+02
1.523597220000000000e+09 2.170229999999999961e+02
1.523597280000000000e+09 2.165490000000000066e+02
1.523597340000000000e+09 2.163269999999999982e+02
1.523597400000000000e+09 2.158990000000000009e+02
1.523597460000000000e+09 2.156649999999999920e+02
1.523597521000000000e+09 2.152400000000000091e+02
1.523597581000000000e+09 2.150070000000000050e+02
1.523597641000000000e+09 2.147949999999999875e+02
1.523597701000000000e+09 2.143750000000000000e+02
1.523597761000000000e+09 2.141690000000000111e+02
1.523597821000000000e+09 2.136879999999999882e+02
1.523597882000000000e+09 2.134790000000000134e+02
1.523597942000000000e+09 2.130560000000000116e+02
1.523598002000000000e+09 2.128580000000000041e+02
1.523598062000000000e+09 2.126239999999999952e+02
1.523598122000000000e+09 2.121740000000000066e+02
1.523598182000000000e+09 2.119660000000000082e+02
1.523598243000000000e+09 2.115200000000000102e+02
1.523598303000000000e+09 2.113110000000000070e+02
1.523598363000000000e+09 2.109000000000000057e+02
1.523598423000000000e+09 2.106649999999999920e+02
1.523598484000000000e+09 2.102119999999999891e+02
1.523598544000000000e+09 2.100200000000000102e+02
1.523598604000000000e+09 2.097930000000000064e+02
1.523598664000000000e+09 2.093449999999999989e+02
1.523598724000000000e+09 2.091500000000000057e+02
1.523598784000000000e+09 2.087450000000000045e+02
1.523598844000000000e+09 2.085080000000000098e+02
1.523598904000000000e+09 2.080790000000000077e+02
1.523598965000000000e+09 2.078720000000000141e+02
1.523599025000000000e+09 2.076579999999999870e+02
1.523599085000000000e+09 2.072119999999999891e+02
1.523599145000000000e+09 2.070250000000000057e+02
1.523599205000000000e+09 2.065740000000000123e+02
1.523599265000000000e+09 2.063520000000000039e+02
1.523599325000000000e+09 2.059190000000000111e+02
1.523599386000000000e+09 2.057009999999999934e+02
1.523599446000000000e+09 2.054790000000000134e+02
1.523599506000000000e+09 2.050610000000000070e+02
1.523599566000000000e+09 2.048580000000000041e+02
1.523599626000000000e+09 2.044120000000000061e+02
1.523599687000000000e+09 2.042150000000000034e+02
1.523599747000000000e+09 2.037990000000000066e+02
1.523599807000000000e+09 2.035569999999999879e+02
1.523599867000000000e+09 2.033640000000000043e+02
1.523599927000000000e+09 2.029360000000000070e+02
1.523599987000000000e+09 2.027119999999999891e+02
1.523600047000000000e+09 2.023129999999999882e+02
1.523600108000000000e+09 2.020970000000000084e+02
1.523600168000000000e+09 2.016800000000000068e+02
1.523600228000000000e+09 2.014470000000000027e+02
1.523600288000000000e+09 2.012319999999999993e+02
1.523600348000000000e+09 2.008189999999999884e+02
1.523600408000000000e+09 2.005960000000000036e+02
1.523600469000000000e+09 2.001709999999999923e+02
1.523600529000000000e+09 1.999579999999999984e+02
1.523600589000000000e+09 1.995200000000000102e+02
1.523600649000000000e+09 1.993209999999999980e+02
1.523600709000000000e+09 1.990960000000000036e+02
1.523600770000000000e+09 1.986930000000000121e+02
1.523600830000000000e+09 1.984970000000000141e+02
1.523600890000000000e+09 1.980689999999999884e+02
1.523600950000000000e+09 1.978520000000000039e+02
1.523601010000000000e+09 1.974430000000000121e+02
1.523601070000000000e+09 1.972350000000000136e+02
1.523601131000000000e+09 1.968009999999999877e+02
1.523601191000000000e+09 1.966049999999999898e+02
1.523601251000000000e+09 1.963930000000000007e+02
1.523601311000000000e+09 1.959840000000000089e+02
1.523601371000000000e+09 1.957640000000000100e+02
1.523601432000000000e+09 1.953220000000000027e+02
1.523601492000000000e+09 1.951359999999999957e+02
1.523601552000000000e+09 1.947059999999999889e+02
1.523601612000000000e+09 1.944979999999999905e+02
1.523601672000000000e+09 1.942779999999999916e+02
1.523601733000000000e+09 1.938789999999999907e+02
1.523601793000000000e+09 1.936639999999999873e+02
1.523601853000000000e+09 1.932580000000000098e+02
1.523601913000000000e+09 1.930519999999999925e+02
1.523601973000000000e+09 1.926419999999999959e+02
1.523602034000000000e+09 1.924190000000000111e+02
1.523602094000000000e+09 1.922340000000000089e+02
1.523602154000000000e+09 1.918019999999999925e+02
1.523602214000000000e+09 1.916049999999999898e+02
1.523602274000000000e+09 1.911879999999999882e+02
1.523602334000000000e+09 1.909730000000000132e+02
1.523602394000000000e+09 1.905540000000000020e+02
1.523602455000000000e+09 1.903319999999999936e+02
1.523602515000000000e+09 1.901289999999999907e+02
1.523602575000000000e+09 1.897160000000000082e+02
1.523602635000000000e+09 1.895200000000000102e+02
1.523602695000000000e+09 1.890780000000000030e+02
1.523602755000000000e+09 1.888919999999999959e+02
1.523602815000000000e+09 1.884970000000000141e+02
1.523602876000000000e+09 1.882940000000000111e+02
1.523602936000000000e+09 1.880769999999999982e+02
1.523602996000000000e+09 1.876730000000000018e+02
1.523603056000000000e+09 1.874550000000000125e+02
1.523603116000000000e+09 1.870389999999999873e+02
1.523603176000000000e+09 1.868470000000000084e+02
1.523603236000000000e+09 1.864250000000000114e+02
1.523603296000000000e+09 1.862290000000000134e+02
1.523603357000000000e+09 1.860219999999999914e+02
1.523603417000000000e+09 1.855960000000000036e+02
1.523603477000000000e+09 1.854060000000000059e+02
1.523603537000000000e+09 1.849830000000000041e+02
1.523603597000000000e+09 1.847719999999999914e+02
1.523603658000000000e+09 1.843580000000000041e+02
1.523603718000000000e+09 1.841550000000000011e+02
1.523603778000000000e+09 1.837620000000000005e+02
1.523603838000000000e+09 1.835540000000000020e+02
1.523603898000000000e+09 1.833720000000000141e+02
1.523603958000000000e+09 1.829449999999999932e+02
1.523604019000000000e+09 1.827270000000000039e+02
1.523604079000000000e+09 1.823230000000000075e+02
1.523604139000000000e+09 1.821330000000000098e+02
1.523604199000000000e+09 1.817189999999999941e+02
1.523604259000000000e+09 1.815200000000000102e+02
1.523604319000000000e+09 1.812959999999999923e+02
1.523604380000000000e+09 1.808950000000000102e+02
1.523604440000000000e+09 1.806819999999999879e+02
1.523604500000000000e+09 1.802779999999999916e+02
1.523604560000000000e+09 1.800649999999999977e+02
1.523604620000000000e+09 1.796699999999999875e+02
1.523604680000000000e+09 1.794730000000000132e+02
1.523604740000000000e+09 1.792529999999999859e+02
1.523604801000000000e+09 1.788530000000000086e+02
1.523604861000000000e+09 1.786620000000000061e+02
1.523604921000000000e+09 1.782580000000000098e+02
1.523604981000000000e+09 1.780500000000000114e+02
1.523605041000000000e+09 1.776550000000000011e+02
1.523605102000000000e+09 1.774439999999999884e+02
1.523605162000000000e+09 1.772390000000000043e+02
1.523605222000000000e+09 1.768369999999999891e+02
1.523605282000000000e+09 1.766359999999999957e+02
1.523605342000000000e+09 1.762189999999999941e+02
1.523605402000000000e+09 1.760260000000000105e+02
1.523605462000000000e+09 1.756129999999999995e+02
1.523605522000000000e+09 1.754000000000000057e+02
1.523605582000000000e+09 1.752030000000000030e+02
1.523605643000000000e+09 1.747990000000000066e+02
1.523605703000000000e+09 1.745869999999999891e+02
1.523605763000000000e+09 1.741980000000000075e+02
1.523605823000000000e+09 1.740039999999999907e+02
1.523605883000000000e+09 1.735910000000000082e+02
1.523605944000000000e+09 1.734060000000000059e+02
1.523606004000000000e+09 1.730060000000000002e+02
1.523606064000000000e+09 1.727990000000000066e+02
1.523606124000000000e+09 1.726080000000000041e+02
1.523606184000000000e+09 1.721910000000000025e+02
1.523606244000000000e+09 1.719919999999999902e+02
1.523606305000000000e+09 1.715780000000000030e+02
1.523606365000000000e+09 1.713669999999999902e+02
1.523606425000000000e+09 1.711730000000000018e+02
1.523606485000000000e+09 1.707800000000000011e+02
1.523606545000000000e+09 1.705689999999999884e+02
1.523606605000000000e+09 1.701579999999999870e+02
1.523606665000000000e+09 1.699430000000000121e+02
1.523606726000000000e+09 1.695430000000000064e+02
1.523606786000000000e+09 1.693549999999999898e+02
1.523606846000000000e+09 1.691399999999999864e+02
1.523606906000000000e+09 1.687690000000000055e+02
1.523606966000000000e+09 1.685600000000000023e+02
1.523607027000000000e+09 1.681459999999999866e+02
1.523607087000000000e+09 1.679610000000000127e+02
1.523607147000000000e+09 1.675629999999999882e+02
1.523607207000000000e+09 1.673679999999999950e+02
1.523607267000000000e+09 1.671690000000000111e+02
1.523607327000000000e+09 1.667599999999999909e+02
1.523607387000000000e+09 1.665540000000000020e+02
1.523607447000000000e+09 1.661339999999999861e+02
1.523607508000000000e+09 1.659569999999999936e+02
1.523607568000000000e+09 1.655500000000000114e+02
1.523607628000000000e+09 1.653609999999999900e+02
1.523607688000000000e+09 1.651519999999999868e+02
1.523607748000000000e+09 1.647470000000000141e+02
1.523607808000000000e+09 1.645509999999999877e+02
1.523607869000000000e+09 1.641529999999999916e+02
1.523607929000000000e+09 1.639519999999999982e+02
1.523607989000000000e+09 1.635749999999999886e+02
1.523608049000000000e+09 1.633669999999999902e+02
1.523608109000000000e+09 1.631790000000000020e+02
1.523608169000000000e+09 1.627620000000000005e+02
1.523608229000000000e+09 1.625809999999999889e+02
1.523608290000000000e+09 1.621769999999999925e+02
1.523608350000000000e+09 1.619720000000000084e+02
1.523608410000000000e+09 1.615829999999999984e+02
1.523608470000000000e+09 1.613789999999999907e+02
1.523608530000000000e+09 1.609650000000000034e+02
1.523608590000000000e+09 1.607880000000000109e+02
1.523608650000000000e+09 1.605840000000000032e+02
1.523608711000000000e+09 1.601649999999999920e+02
1.523608771000000000e+09 1.599670000000000130e+02
1.523608831000000000e+09 1.595910000000000082e+02
1.523608891000000000e+09 1.593880000000000052e+02
1.523608951000000000e+09 1.589919999999999902e+02
1.523609011000000000e+09 1.587990000000000066e+02
1.523609071000000000e+09 1.585989999999999895e+02
1.523609131000000000e+09 1.582100000000000080e+02
1.523609192000000000e+09 1.580010000000000048e+02
1.523609252000000000e+09 1.576129999999999995e+02
1.523609312000000000e+09 1.574199999999999875e+02
1.523609372000000000e+09 1.570310000000000059e+02
1.523609432000000000e+09 1.568100000000000023e+02
1.523609492000000000e+09 1.566169999999999902e+02
1.523609552000000000e+09 1.562110000000000127e+02
1.523609613000000000e+09 1.560339999999999918e+02
1.523609673000000000e+09 1.556179999999999950e+02
1.523609733000000000e+09 1.554230000000000018e+02
1.523609793000000000e+09 1.550159999999999911e+02
1.523609853000000000e+09 1.548230000000000075e+02
1.523609913000000000e+09 1.546310000000000002e+02
1.523609973000000000e+09 1.542359999999999900e+02
1.523610033000000000e+09 1.540519999999999925e+02
1.523610094000000000e+09 1.536440000000000055e+02
1.523610154000000000e+09 1.534370000000000118e+02
1.523610214000000000e+09 1.530620000000000118e+02
1.523610274000000000e+09 1.528520000000000039e+02
1.523610334000000000e+09 1.526550000000000011e+02
1.523610395000000000e+09 1.522620000000000005e+02
1.523610455000000000e+09 1.520749999999999886e+02
1.523610515000000000e+09 1.516750000000000114e+02
1.523610575000000000e+09 1.514720000000000084e+02
1.523610635000000000e+09 1.510790000000000077e+02
1.523610695000000000e+09 1.508779999999999859e+02
1.523610755000000000e+09 1.506779999999999973e+02
1.523610815000000000e+09 1.502700000000000102e+02
1.523610876000000000e+09 1.500680000000000121e+02
1.523610936000000000e+09 1.496709999999999923e+02
1.523610996000000000e+09 1.494799999999999898e+02
1.523611056000000000e+09 1.490840000000000032e+02
1.523611116000000000e+09 1.488909999999999911e+02
1.523611177000000000e+09 1.484970000000000141e+02
1.523611237000000000e+09 1.482959999999999923e+02
1.523611297000000000e+09 1.481030000000000086e+02
1.523611357000000000e+09 1.477100000000000080e+02
1.523611417000000000e+09 1.475140000000000100e+02
1.523611477000000000e+09 1.471150000000000091e+02
1.523611538000000000e+09 1.469139999999999873e+02
1.523611598000000000e+09 1.465269999999999868e+02
1.523611658000000000e+09 1.463149999999999977e+02
1.523611718000000000e+09 1.461179999999999950e+02
1.523611778000000000e+09 1.457100000000000080e+02
1.523611838000000000e+09 1.455130000000000052e+02
1.523611898000000000e+09 1.451220000000000141e+02
1.523611959000000000e+09 1.449329999999999927e+02
1.523612019000000000e+09 1.445329999999999870e+02
1.523612079000000000e+09 1.443429999999999893e+02
1.523612139000000000e+09 1.441349999999999909e+02
1.523612199000000000e+09 1.437460000000000093e+02
1.523612259000000000e+09 1.435519999999999925e+02
1.523612320000000000e+09 1.431620000000000061e+02
1.523612380000000000e+09 1.429670000000000130e+02
1.523612440000000000e+09 1.425579999999999927e+02
1.523612500000000000e+09 1.423480000000000132e+02
1.523612560000000000e+09 1.421610000000000014e+02
1.523612620000000000e+09 1.417690000000000055e+02
1.523612681000000000e+09 1.415579999999999927e+02
1.523612741000000000e+09 1.411570000000000107e+02
1.523612801000000000e+09 1.409600000000000080e+02
1.523612861000000000e+09 1.405620000000000118e+02
1.523612921000000000e+09 1.403540000000000134e+02
