# 4K Stage
# UCSD DR Cooldown data 
# Time	Temperature 
# (s)	(K)
1.523587474000000000e+09 2.249010000000000105e+02
1.523587534000000000e+09 2.245589999999999975e+02
1.523587595000000000e+09 2.238480000000000132e+02
1.523587655000000000e+09 2.234950000000000045e+02
1.523587715000000000e+09 2.231390000000000100e+02
1.523587775000000000e+09 2.224370000000000118e+02
1.523587835000000000e+09 2.220860000000000127e+02
1.523587895000000000e+09 2.213899999999999864e+02
1.523587955000000000e+09 2.210370000000000061e+02
1.523588015000000000e+09 2.203449999999999989e+02
1.523588075000000000e+09 2.200029999999999859e+02
1.523588135000000000e+09 2.196550000000000011e+02
1.523588195000000000e+09 2.189679999999999893e+02
1.523588256000000000e+09 2.186299999999999955e+02
1.523588316000000000e+09 2.179499999999999886e+02
1.523588376000000000e+09 2.176179999999999950e+02
1.523588436000000000e+09 2.169530000000000030e+02
1.523588496000000000e+09 2.166100000000000136e+02
1.523588556000000000e+09 2.159290000000000020e+02
1.523588616000000000e+09 2.155980000000000132e+02
1.523588677000000000e+09 2.152620000000000005e+02
1.523588737000000000e+09 2.145960000000000036e+02
1.523588797000000000e+09 2.142729999999999961e+02
1.523588857000000000e+09 2.136210000000000093e+02
1.523588917000000000e+09 2.133029999999999973e+02
1.523588978000000000e+09 2.126440000000000055e+02
1.523589038000000000e+09 2.123280000000000030e+02
1.523589098000000000e+09 2.120060000000000002e+02
1.523589158000000000e+09 2.113499999999999943e+02
1.523589219000000000e+09 2.110310000000000059e+02
1.523589279000000000e+09 2.103779999999999859e+02
1.523589339000000000e+09 2.100649999999999977e+02
1.523589399000000000e+09 2.094209999999999923e+02
1.523589459000000000e+09 2.091119999999999948e+02
1.523589519000000000e+09 2.087969999999999970e+02
1.523589580000000000e+09 2.081680000000000064e+02
1.523589640000000000e+09 2.078580000000000041e+02
1.523589700000000000e+09 2.072280000000000086e+02
1.523589760000000000e+09 2.069120000000000061e+02
1.523589820000000000e+09 2.062930000000000064e+02
1.523589880000000000e+09 2.059780000000000086e+02
1.523589940000000000e+09 2.056750000000000114e+02
1.523590000000000000e+09 2.050519999999999925e+02
1.523590061000000000e+09 2.047429999999999950e+02
1.523590121000000000e+09 2.041419999999999959e+02
1.523590181000000000e+09 2.038319999999999936e+02
1.523590241000000000e+09 2.032210000000000036e+02
1.523590301000000000e+09 2.029230000000000018e+02
1.523590361000000000e+09 2.026210000000000093e+02
1.523590421000000000e+09 2.020180000000000007e+02
1.523590482000000000e+09 2.017210000000000036e+02
1.523590542000000000e+09 2.011129999999999995e+02
1.523590602000000000e+09 2.008100000000000023e+02
1.523590662000000000e+09 2.002110000000000127e+02
1.523590723000000000e+09 1.999060000000000059e+02
1.523590783000000000e+09 1.993180000000000121e+02
1.523590843000000000e+09 1.990229999999999961e+02
1.523590903000000000e+09 1.987390000000000043e+02
1.523590963000000000e+09 1.981510000000000105e+02
1.523591023000000000e+09 1.978609999999999900e+02
1.523591083000000000e+09 1.972849999999999966e+02
1.523591143000000000e+09 1.969879999999999995e+02
1.523591204000000000e+09 1.964010000000000105e+02
1.523591264000000000e+09 1.961109999999999900e+02
1.523591324000000000e+09 1.958209999999999980e+02
1.523591384000000000e+09 1.952199999999999989e+02
1.523591444000000000e+09 1.949310000000000116e+02
1.523591504000000000e+09 1.943629999999999995e+02
1.523591564000000000e+09 1.940769999999999982e+02
1.523591624000000000e+09 1.937969999999999970e+02
1.523591685000000000e+09 1.932359999999999900e+02
1.523591745000000000e+09 1.929579999999999984e+02
1.523591805000000000e+09 1.923909999999999911e+02
1.523591865000000000e+09 1.921109999999999900e+02
1.523591925000000000e+09 1.915519999999999925e+02
1.523591985000000000e+09 1.912729999999999961e+02
1.523592046000000000e+09 1.909929999999999950e+02
1.523592106000000000e+09 1.904319999999999879e+02
1.523592166000000000e+09 1.901550000000000011e+02
1.523592226000000000e+09 1.896020000000000039e+02
1.523592286000000000e+09 1.893209999999999980e+02
1.523592346000000000e+09 1.887870000000000061e+02
1.523592406000000000e+09 1.885099999999999909e+02
1.523592467000000000e+09 1.879689999999999941e+02
1.523592527000000000e+09 1.876959999999999980e+02
1.523592587000000000e+09 1.874240000000000066e+02
1.523592647000000000e+09 1.868859999999999957e+02
1.523592707000000000e+09 1.866100000000000136e+02
1.523592767000000000e+09 1.860689999999999884e+02
1.523592828000000000e+09 1.858019999999999925e+02
1.523592888000000000e+09 1.852580000000000098e+02
1.523592948000000000e+09 1.849939999999999998e+02
1.523593008000000000e+09 1.847290000000000134e+02
1.523593068000000000e+09 1.842040000000000077e+02
1.523593128000000000e+09 1.839420000000000073e+02
1.523593188000000000e+09 1.834139999999999873e+02
1.523593248000000000e+09 1.831579999999999870e+02
1.523593309000000000e+09 1.826320000000000050e+02
1.523593369000000000e+09 1.823650000000000091e+02
1.523593429000000000e+09 1.821069999999999993e+02
1.523593489000000000e+09 1.815900000000000034e+02
1.523593550000000000e+09 1.813259999999999934e+02
1.523593610000000000e+09 1.808040000000000020e+02
1.523593670000000000e+09 1.805389999999999873e+02
1.523593730000000000e+09 1.800200000000000102e+02
1.523593790000000000e+09 1.797630000000000052e+02
1.523593850000000000e+09 1.795120000000000005e+02
1.523593910000000000e+09 1.790070000000000050e+02
1.523593971000000000e+09 1.787549999999999955e+02
1.523594031000000000e+09 1.782470000000000141e+02
1.523594091000000000e+09 1.779970000000000141e+02
1.523594151000000000e+09 1.774879999999999995e+02
1.523594211000000000e+09 1.772359999999999900e+02
1.523594271000000000e+09 1.769840000000000089e+02
1.523594331000000000e+09 1.764809999999999945e+02
1.523594392000000000e+09 1.762330000000000041e+02
1.523594452000000000e+09 1.757280000000000086e+02
1.523594512000000000e+09 1.754710000000000036e+02
1.523594572000000000e+09 1.749670000000000130e+02
1.523594632000000000e+09 1.747230000000000132e+02
1.523594693000000000e+09 1.742330000000000041e+02
1.523594753000000000e+09 1.739939999999999998e+02
1.523594813000000000e+09 1.737419999999999902e+02
1.523594873000000000e+09 1.732599999999999909e+02
1.523594933000000000e+09 1.730099999999999909e+02
